Time [s], Analyzer Name,Device, Decoded Protocol Result
5.532950140000000,I2C,0x1D,0xFB + ACK
5.532976400000000,I2C,0x1D,0xFA + ACK
5.533002660000000,I2C,0x1D,0x0E + ACK
5.533031920000000,I2C,0x1D,0xFB + ACK
5.533058180000000,I2C,0x1D,0xFA + ACK
5.533084440000000,I2C,0x1D,0x0E + ACK
5.533110700000000,I2C,0x1D,0xFB + ACK
5.533136960000000,I2C,0x1D,0xFA + ACK
5.533163240000000,I2C,0x1D,0x0E + ACK
5.533189500000000,I2C,0x1D,0xFB + ACK
5.533215500000000,I2C,0x1D,0xFA + ACK
5.533241760000000,I2C,0x1D,0x0E + ACK
5.533268020000000,I2C,0x1D,0xFB + ACK
5.533294300000000,I2C,0x1D,0xFA + ACK
5.533320560000000,I2C,0x1D,0x0E + ACK
5.533346820000000,I2C,0x1D,0xFB + ACK
5.533373080000000,I2C,0x1D,0xFA + ACK
5.533399080000000,I2C,0x1D,0x0E + ACK
5.533425360000000,I2C,0x1D,0xFB + ACK
5.533451620000000,I2C,0x1D,0xFA + ACK
5.533477880000000,I2C,0x1D,0x0E + ACK
5.533504140000000,I2C,0x1D,0xFB + ACK
5.533530400000000,I2C,0x1D,0xFA + ACK
5.533556660000000,I2C,0x1D,0x0E + ACK
5.533582920000000,I2C,0x1D,0xFB + ACK
5.533608940000000,I2C,0x1D,0xFA + ACK
5.533635200000000,I2C,0x1D,0x0E + ACK
5.533661460000000,I2C,0x1D,0xFB + ACK
5.533687720000000,I2C,0x1D,0xFA + ACK
5.533713980000000,I2C,0x1D,0x0E + ACK
5.533740240000000,I2C,0x1D,0xFB + ACK
5.533766500000000,I2C,0x1D,0xFA + ACK
5.533792520000000,I2C,0x1D,0x0E + ACK
5.533818780000000,I2C,0x1D,0xFB + ACK
5.533845040000000,I2C,0x1D,0xFA + ACK
5.533871300000000,I2C,0x1D,0x0E + ACK
5.533897560000000,I2C,0x1D,0xFB + ACK
5.533923820000000,I2C,0x1D,0xFA + ACK
5.533950080000000,I2C,0x1D,0x0E + ACK
5.533976100000000,I2C,0x1D,0xFB + ACK
5.534002360000000,I2C,0x1D,0xFA + ACK
5.534031880000000,I2C,0x1D,0x0E + ACK
5.534058140000000,I2C,0x1D,0xFB + ACK
5.534084400000000,I2C,0x1D,0xFA + ACK
5.534110660000000,I2C,0x1D,0x0E + ACK
5.534136920000000,I2C,0x1D,0xFB + ACK
5.534162940000000,I2C,0x1D,0xFA + ACK
5.534189200000000,I2C,0x1D,0x0E + ACK
5.534215460000000,I2C,0x1D,0xFB + ACK
5.534241720000000,I2C,0x1D,0xFA + ACK
5.534267980000000,I2C,0x1D,0x0E + ACK
5.534294240000000,I2C,0x1D,0xFB + ACK
5.534320500000000,I2C,0x1D,0xFA + ACK
5.534346520000000,I2C,0x1D,0x0E + ACK
